Name;Address;Phone
סהרון; שדרות עוזיהו 5;08-8556573
סוף; הר נבו 12;08-9148578
סחלב;בנימין 17;08-8558293
סיגלון; אבא הלל סילבר 6;86597842
סיגלית;נחל שניר 3;08-8656801
סייפן;אילת 25;08-8565549
סיפון 2;הקישון 14;08-8550456
סירונית;אבן עזרא 16;08-8553616
סלעית; נחל קדרון 1;08-8644439
סמדר; הציונות 115;08-8679716
סנונית;"בי""ס יד שבתאי שלמה בן יוסף 16";08-8552953
סנפיר; מצדה 90;08-8550328
ספיר- נסגר; שוהם 26;08-8676214
ספנים;רח הדולפין 13;08-6530553
עגורים; הגולשים 24;08-8553546
עוגן;הנחליאלי 5;08-8565553
עינב;המלך יהוא 10;08-8652677
עירית; אבן עזרא 16;08-6437806
עמית; דבורה הנביאה 1;08-8552953
ענבים; הענבים 8;08-6077924
ענבל;העצמאות 39;08-8663471
ענבר;סירקין פינת חזנוב 6;08-8648981
עפרוני;המתמיד 16;08-6437806
עצמאות;עצמאות 5;08-8661760
ערבה;עצמאות 5;08-8661760
ערמונים;יבנאל 4;08-6379430
פז; המלך דוד 12;08-8656473
פטל; תפוח 2;08-6345136
פיקוס ח''מ;"ביה""ס שירת הים ברקת 4";08-8565567
פלג;משה יואל סלומון 5;08-8669703
פסיפלורה;אשכולית 7;08-9213352
פעמון;מונטיפיורי 10;08-9101130
פקאן;אפרסק 12;08-6344395
פרחי ים;נחל קדרון 13;08-8550454
פשוש;בלפור 20;08-8553646
צאלון-נסגר;הציונות 115;08-8675122
צאלים;נחל דן 8;08-8544368
צבר;מנחם אוסישקין 9;08-8642912
צדף;ציזלינג 13;08-8553688
צהלה;המרי 4;08-8602541
צופית;כנרת 69;08-8543667
צליל;המרי 2;054-7719670
קונכיה;הרב קוק 37;08-8565569
קורל;ברקת 10;08-8532559
קשת;ניסן 3;08-8677686
רותם;"בי""ס יד שבתאי שלמה בן יוסף 16 ";08-9758712
רחפת; הרב שאולי 31;08-8553515
ריחן;תשרי 5;08-8675223
רימון;המלך דוד 23;08-8644430
רינה;הרב הרצוג 9;08-8565558
ריף;רח דולפין 13;08-9758712
רננים;אבן עזרא 16;08-8553616
רעות;המלך יהושפט 8;08-8647170
רעים;קקל 60;08-8655671
רפסודה;טרומפלדור 13;08-8553786
רציף;יבניאל 4;08-6379236
רקפת;העצמאות 1;08-8678934
שביט;החובלים 7;08-8553514
שונית;הגלים 20;08-8553534
שושן;הרב קוק 37;08-8565569
שושנת הים;דבורה הנביאה 1;08-8552953
שזיף;רח  תפוז 6;08-6372739
שחם;ספיר 23;08-6105551
שחף;המרי 2;08-8679271
שיבולת; שבט ראובן 6;08-8679281
שיטה;בתוך ביס אשכול  פתח תקווה 8;08-8646283
שייטים;רח טרומפלדור 13;08-8553786
שילה 1;מיכשוילי 21;08-8553752
שילה 2;ביס שילה מילמן 22;08-8553776
שילה 3;מילמן 22;08-8553776
שיקמה;"בי""ס שחר המפרש 15";08-6530553
שיר;רובע יב תשרי 94;08-8644205
שירה;המרי 2;08-8602541
שירת הים;אגוז 11;08-6467939
שלדג;אחי אילת 25;08-8565549
שמיר- נסגר;נחמן סירקין 4;08-8665690
שנהב;אברהם עופר 12;08-8553621
שני;שבט בנימין 40;08-9562031
שסק;תפוז 6;08-6372739
שקד;המלך דוד 23;08-8644430
שקנאי;מצדה 113;08-8646213
תאנה;תשרי 5;08-8670803
תות;תפוח 2;08-6345136
תילתן;רח קלל 7;08-8642918
תירוש- נסגר;הר נבו 12;08-8646984
תלמים;תשרי 11 ב;08-6467813
תמר;ניסן 5;08-8553639
תפוז;אשכולית 5;050-9888143
תפוח;אשכולית 5;08-6334200
תרשיש;ברקת 10;08-8532559
